Location,CONTRACTOR_LABOR,CBA_Exempt,Required_Clearance,Labor_Category,Base_Hours,OY1_Hours,OY2_Hours,OY3_Hours,OY4_Hours,Total_Hours,Region_ID,Region_Name,Labor Category,Occupation_Code,Title,Rate,Required Clearance,CBA - Exempt,Hourly_Rate
Beaufort,Non-SCA,Exempt,SECRET,Site Manager,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Beaufort,Non-SCA,Exempt,SECRET,Mission Coordinator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,85.0
Beaufort,Non-SCA,Exempt,SECRET,"Mission Coordinator, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Beaufort,SCA,SCLS,SECRET,Computer Operator V,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,SC_Beaufort,SC Beaufort,Computer Operator V,14045.0,Computer Operator V,31.62,SECRET,SCLS,31.62
Beaufort,SCA,SCLS,SECRET,Electronics Technician III,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,SC_Beaufort,SC Beaufort,Electronics Technician III,23183.0,Electronics Technician Maintenance III,28.42,SECRET,SCLS,28.42
Beaufort,SCA,SCLS,SECRET,Engineering Technician V,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,SC_Beaufort,SC Beaufort,Engineering Technician V,30085.0,Engineering Technician V,31.86,SECRET,SCLS,31.86
Beaufort,SCA,SCLS,SECRET,Supply Technician,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,SC_Beaufort,SC Beaufort,Supply Technician,1410.0,Supply Technician,29.44,SECRET,SCLS,29.44
Beaufort,Non-SCA,Exempt,SECRET,Security Coordinator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,70.0
Beaufort,Non-SCA,Exempt,SECRET,Quality Assurance/Safety Evaluator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,75.0
CP,Non-SCA,Exempt,SECRET,Site Manager,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
CP,Non-SCA,Exempt,SECRET,Mission Coordinator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,85.0
CP,Non-SCA,Exempt,SECRET,"Mission Coordinator, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
CP,SCA,SCLS,SECRET,Computer Operator IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Computer Operator IV,14044.0,Computer Operator IV,33.60,SECRET,SCLS,33.6
CP,SCA,CBA,SECRET,Computer Operator V,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,CA_San_Diego,CA San Diego,Computer Operator V,14045.0,Computer Operator V,37.21,SECRET,CBA,37.21
CP,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
CP,SCA,CBA,SECRET,Engineering Technician IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Engineering Technician IV,30084.0,Engineering Technician IV,32.53,SECRET,CBA,32.53
CP,SCA,SCLS,SECRET,Electronics Technician II,133840.0,26768.0,26768.0,26768.0,26768.0,26768.0,CA_San_Diego,CA San Diego,Electronics Technician II,23182.0,Electronics Technician Maintenance II,36.22,SECRET,SCLS,36.22
CP,SCA,SCLS,SECRET,Electronics Technician III,181640.0,36328.0,36328.0,36328.0,36328.0,36328.0,CA_San_Diego,CA San Diego,Electronics Technician III,23183.0,Electronics Technician Maintenance III,38.28,SECRET,SCLS,38.28
CP,SCA,SCLS,SECRET,Engineering Technician V,47800.0,9560.0,9560.0,9560.0,9560.0,9560.0,CA_San_Diego,CA San Diego,Engineering Technician V,30085.0,Engineering Technician V,39.78,SECRET,SCLS,39.78
CP,SCA,SCLS,SECRET,Engineering Technician VI,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_San_Diego,CA San Diego,Engineering Technician VI,30086.0,Engineering Technician VI,48.13,SECRET,SCLS,48.13
CP,Non-SCA,Exempt,SECRET,Electrician,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,65.0
CP,SCA,SCLS,SECRET,General Maintenance Worker,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,CA_San_Diego,CA San Diego,General Maintenance Worker,23370.0,General Maintenance Worker,24.83,SECRET,SCLS,24.83
CP,SCA,SCLS,SECRET,"Heating, Ventilation and Air Conditioning",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,"Heating, Ventilation and Air Conditioning",23410.0,"Heating, Ventilation And Air-Conditioning",32.86,SECRET,SCLS,32.86
CP,SCA,CBA,SECRET,Heavy Equipment Mechanic/Operator,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_San_Diego,CA San Diego,Heavy Equipment Mechanic/Operator,23430.0,Heavy Equipment Mechanic,35.52,SECRET,CBA,35.52
CP,Non-SCA,Exempt,SECRET,Maintenance Coordinator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,80.0
CP,Non-SCA,Exempt,SECRET,Logistician Analyst IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
CP,SCA,CBA,SECRET,Supply Technician,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_San_Diego,CA San Diego,Supply Technician,1410.0,Supply Technician,39.73,SECRET,CBA,39.73
CP,Non-SCA,Exempt,SECRET,Security Coordinator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,70.0
CP,Non-SCA,Exempt,SECRET,Quality Assurance/Safety Evaluator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
El Centro,SCA,CBA,SECRET,Electronics Technician II,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,CA_Los_Angeles,CA Los Angeles,Electronics Technician II,23182.0,Electronics Technician Maintenance II,34.45,SECRET,CBA,34.45
El Centro,SCA,CBA,SECRET,Electronics Technician III,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_Los_Angeles,CA Los Angeles,Electronics Technician III,23183.0,Electronics Technician Maintenance III,36.58,SECRET,CBA,36.58
Fallon,Non-SCA,Exempt,SECRET,Site Manager,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Fallon,Non-SCA,CBA,SECRET,Mission Coordinator,66920.0,13384.0,13384.0,13384.0,13384.0,13384.0,,,,,,,,,85.0
Fallon,Non-SCA,CBA,SECRET,"Mission Coordinator, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Fallon,SCA,SCLS,SECRET,Computer Operator III,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,NV_Fallon,NV Churchill/Douglas,Computer Operator III,14043.0,Computer Operator III,25.78,SECRET,SCLS,25.78
Fallon,SCA,SCLS,SECRET,Computer Operator IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,Computer Operator IV,14044.0,Computer Operator IV,28.66,SECRET,SCLS,28.66
Fallon,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,,,,,,,,,75.0
Fallon,Non-SCA,CBA,SECRET,Range Control Officer,47800.0,9560.0,9560.0,9560.0,9560.0,9560.0,,,,,,,,,80.0
Fallon,Non-SCA,CBA,SECRET,"Range Control Officer, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,90.0
Fallon,SCA,SCLS,SECRET,Electronics Technician II,478000.0,95600.0,95600.0,95600.0,95600.0,95600.0,NV_Fallon,NV Churchill/Douglas,Electronics Technician II,23182.0,Electronics Technician Maintenance II,37.93,SECRET,SCLS,37.93
Fallon,SCA,SCLS,SECRET,Electronics Technician III,305920.0,61184.0,61184.0,61184.0,61184.0,61184.0,NV_Fallon,NV Churchill/Douglas,Electronics Technician III,23183.0,Electronics Technician Maintenance III,39.89,SECRET,SCLS,39.89
Fallon,SCA,SCLS,SECRET,Engineering Technician V,86040.0,17208.0,17208.0,17208.0,17208.0,17208.0,NV_Fallon,NV Churchill/Douglas,Engineering Technician V,30085.0,Engineering Technician V,33.91,SECRET,SCLS,33.91
Fallon,SCA,SCLS,SECRET,Engineering Technician VI,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,NV_Fallon,NV Churchill/Douglas,Engineering Technician VI,30086.0,Engineering Technician VI,41.03,SECRET,SCLS,41.03
