Region_ID,Region_Name,Occupation_Code,Title,Rate
VA_NC_Hampton,NC/VA Hampton Roads,05070,Automotive Worker,22.59
VA_NC_Hampton,NC/VA Hampton Roads,14043,Computer Operator III,23.42
VA_NC_Hampton,NC/VA Hampton Roads,14044,Computer Operator IV,26.03
VA_NC_Hampton,NC/VA Hampton Roads,14045,Computer Operator V,28.83
VA_NC_Hampton,NC/VA Hampton Roads,14101,Computer Systems Analyst I,(see 1)
VA_NC_Hampton,NC/VA Hampton Roads,14102,Computer Systems Analyst II,(see 1)
VA_NC_Hampton,NC/VA Hampton Roads,14103,Computer Systems Analyst III,(see 1)
VA_NC_Hampton,NC/VA Hampton Roads,23181,Electronics Technician Maintenance I,29.66
VA_NC_Hampton,NC/VA Hampton Roads,23182,Electronics Technician Maintenance II,31.31
VA_NC_Hampton,NC/VA Hampton Roads,23183,Electronics Technician Maintenance III,32.84
VA_NC_Hampton,NC/VA Hampton Roads,30083,Engineering Technician III,24.87
VA_NC_Hampton,NC/VA Hampton Roads,30084,Engineering Technician IV,30.81
VA_NC_Hampton,NC/VA Hampton Roads,30085,Engineering Technician V,37.68
VA_NC_Hampton,NC/VA Hampton Roads,30086,Engineering Technician VI,45.59
VA_NC_Hampton,NC/VA Hampton Roads,23370,General Maintenance Worker,22.43
VA_NC_Hampton,NC/VA Hampton Roads,23410,"Heating, Ventilation And Air-Conditioning",29.11
VA_NC_Hampton,NC/VA Hampton Roads,23591,Metrology Technician I,32.70
VA_NC_Hampton,NC/VA Hampton Roads,23550,"Machinist, Maintenance",30.91
VA_NC_Hampton,NC/VA Hampton Roads,05190,Motor Vehicle Mechanic,25.00
VA_NC_Hampton,NC/VA Hampton Roads,01410,Supply Technician,32.04
VA_NC_Hampton,NC/VA Hampton Roads,23430,Heavy Equipment Mechanic,29.68
VA_NC_Hampton,NC/VA Hampton Roads,23440,Heavy Equipment Operator,23.97
VA_NC_Hampton,NC/VA Hampton Roads,30492,Unexploded Ordnance (UXO) Technician II,35.95
VA_NC_Hampton,NC/VA Hampton Roads,30493,Unexploded Ordnance (UXO) Technician III,43.09
NC_Eastern,NC Eastern Counties,05070,Automotive Worker,19.54
NC_Eastern,NC Eastern Counties,14043,Computer Operator III,25.23
NC_Eastern,NC Eastern Counties,14044,Computer Operator IV,28.03
NC_Eastern,NC Eastern Counties,14045,Computer Operator V,31.04
NC_Eastern,NC Eastern Counties,14101,Computer Systems Analyst I,(see 1)
NC_Eastern,NC Eastern Counties,14102,Computer Systems Analyst II,(see 1)
NC_Eastern,NC Eastern Counties,14103,Computer Systems Analyst III,(see 1)
NC_Eastern,NC Eastern Counties,23181,Electronics Technician Maintenance I,34.37
NC_Eastern,NC Eastern Counties,23182,Electronics Technician Maintenance II,36.59
NC_Eastern,NC Eastern Counties,23183,Electronics Technician Maintenance III,38.60
NC_Eastern,NC Eastern Counties,30083,Engineering Technician III,23.78
NC_Eastern,NC Eastern Counties,30084,Engineering Technician IV,29.45
NC_Eastern,NC Eastern Counties,30085,Engineering Technician V,36.04
NC_Eastern,NC Eastern Counties,30086,Engineering Technician VI,43.58
NC_Eastern,NC Eastern Counties,23370,General Maintenance Worker,20.83
NC_Eastern,NC Eastern Counties,23410,"Heating, Ventilation And Air-Conditioning",23.42
NC_Eastern,NC Eastern Counties,23591,Metrology Technician I,28.01
NC_Eastern,NC Eastern Counties,23550,"Machinist, Maintenance",26.43
NC_Eastern,NC Eastern Counties,05190,Motor Vehicle Mechanic,21.68
NC_Eastern,NC Eastern Counties,01410,Supply Technician,26.85
NC_Eastern,NC Eastern Counties,23430,Heavy Equipment Mechanic,27.24
NC_Eastern,NC Eastern Counties,23440,Heavy Equipment Operator,22.44
NC_Eastern,NC Eastern Counties,30492,Unexploded Ordnance (UXO) Technician II,37.00
NC_Eastern,NC Eastern Counties,30493,Unexploded Ordnance (UXO) Technician III,44.34
NC_Dare,NC Dare County,05070,Automotive Worker,19.74
NC_Dare,NC Dare County,14043,Computer Operator III,23.08
NC_Dare,NC Dare County,14044,Computer Operator IV,25.65
NC_Dare,NC Dare County,14045,Computer Operator V,28.40
NC_Dare,NC Dare County,14101,Computer Systems Analyst I,(see 1)
NC_Dare,NC Dare County,14102,Computer Systems Analyst II,(see 1)
NC_Dare,NC Dare County,14103,Computer Systems Analyst III,(see 1)
NC_Dare,NC Dare County,23181,Electronics Technician Maintenance I,36.82
NC_Dare,NC Dare County,23182,Electronics Technician Maintenance II,39.04
NC_Dare,NC Dare County,23183,Electronics Technician Maintenance III,41.20
NC_Dare,NC Dare County,30083,Engineering Technician III,19.87
NC_Dare,NC Dare County,30084,Engineering Technician IV,24.62
NC_Dare,NC Dare County,30085,Engineering Technician V,30.12
NC_Dare,NC Dare County,30086,Engineering Technician VI,36.43
NC_Dare,NC Dare County,23370,General Maintenance Worker,21.19
NC_Dare,NC Dare County,23410,"Heating, Ventilation And Air-Conditioning",23.42
NC_Dare,NC Dare County,23591,Metrology Technician I,28.01
NC_Dare,NC Dare County,23550,"Machinist, Maintenance",26.43
NC_Dare,NC Dare County,05190,Motor Vehicle Mechanic,22.17
NC_Dare,NC Dare County,01410,Supply Technician,27.94
NC_Dare,NC Dare County,23430,Heavy Equipment Mechanic,26.73
NC_Dare,NC Dare County,23440,Heavy Equipment Operator,22.44
NC_Dare,NC Dare County,30492,Unexploded Ordnance (UXO) Technician II,37.00
NC_Dare,NC Dare County,30493,Unexploded Ordnance (UXO) Technician III,44.34
FL_Jacksonville,FL Jacksonville,05070,Automotive Worker,20.22
FL_Jacksonville,FL Jacksonville,14043,Computer Operator III,26.46
FL_Jacksonville,FL Jacksonville,14044,Computer Operator IV,29.41
FL_Jacksonville,FL Jacksonville,14045,Computer Operator V,32.57
FL_Jacksonville,FL Jacksonville,14101,Computer Systems Analyst I,(see 1)
FL_Jacksonville,FL Jacksonville,14102,Computer Systems Analyst II,(see 1)
FL_Jacksonville,FL Jacksonville,14103,Computer Systems Analyst III,(see 1)
